 '2018-01-24 00:04:42,780' 'com.sunny.log4j.TestLab10' 'INFO' 'TestLab10' 'main' 'Main Started' 'com.sunny.log4j.TestLab10.main(TestLab10.java:20)' 
 '2018-01-24 00:04:42,783' 'com.sunny.log4j.TestLab10' 'DEBUG' 'TestLab10' 'main' 'No Values as CommandLineArgument :2' 'com.sunny.log4j.TestLab10.main(TestLab10.java:21)' 
 '2018-01-24 00:04:42,783' 'com.sunny.log4j.TestLab10' 'DEBUG' 'TestLab10' 'main' '1st CLA value in Main :100' 'com.sunny.log4j.TestLab10.main(TestLab10.java:27)' 
 '2018-01-24 00:04:42,784' 'com.sunny.log4j.TestLab10' 'DEBUG' 'TestLab10' 'main' '2nd CLA value in Main :33' 'com.sunny.log4j.TestLab10.main(TestLab10.java:29)' 
 '2018-01-24 00:04:42,784' 'com.sunny.log4j.TestLab10' 'INFO' 'TestLab10' 'main' 'Creating SunnyOperator ' 'com.sunny.log4j.TestLab10.main(TestLab10.java:31)' 
 '2018-01-24 00:04:42,796' 'com.sunny.log4j.TestLab10' 'INFO' 'TestLab10' 'main' 'SunnyOperator object is Created' 'com.sunny.log4j.TestLab10.main(TestLab10.java:34)' 
 '2018-01-24 00:04:42,796' 'com.sunny.log4j.SunnyOperator' 'INFO' 'com.sunny.log4j.SunnyOperator' 'getRemainder' 'getRemainder is Invoked' 'com.sunny.log4j.SunnyOperator.getRemainder(SunnyOperator.java:12)' 
 '2018-01-24 00:04:42,796' 'com.sunny.log4j.SunnyOperator' 'DEBUG' 'com.sunny.log4j.SunnyOperator' 'getRemainder' 'Values :100		33' 'com.sunny.log4j.SunnyOperator.getRemainder(SunnyOperator.java:14)' 
 '2018-01-24 00:04:42,799' 'com.sunny.log4j.SunnyOperator' 'DEBUG' 'com.sunny.log4j.SunnyOperator' 'getRemainder' '1st int value :100' 'com.sunny.log4j.SunnyOperator.getRemainder(SunnyOperator.java:19)' 
 '2018-01-24 00:04:42,799' 'com.sunny.log4j.SunnyOperator' 'DEBUG' 'com.sunny.log4j.SunnyOperator' 'getRemainder' '2nd int value :33' 'com.sunny.log4j.SunnyOperator.getRemainder(SunnyOperator.java:22)' 
 '2018-01-24 00:04:42,799' 'com.sunny.log4j.SunnyOperator' 'INFO' 'com.sunny.log4j.SunnyOperator' 'getRemainder' 'Calculating Remainder ' 'com.sunny.log4j.SunnyOperator.getRemainder(SunnyOperator.java:24)' 
 '2018-01-24 00:04:42,799' 'com.sunny.log4j.SunnyOperator' 'INFO' 'com.sunny.log4j.SunnyOperator' 'getRemainder' 'Remainder Calculated' 'com.sunny.log4j.SunnyOperator.getRemainder(SunnyOperator.java:26)' 
 '2018-01-24 00:04:42,799' 'com.sunny.log4j.SunnyOperator' 'DEBUG' 'com.sunny.log4j.SunnyOperator' 'getRemainder' 'Calculated Remainder :1' 'com.sunny.log4j.SunnyOperator.getRemainder(SunnyOperator.java:31)' 
 '2018-01-24 00:04:42,799' 'com.sunny.log4j.SunnyOperator' 'INFO' 'com.sunny.log4j.SunnyOperator' 'getRemainder' 'Returning Remainder :' 'com.sunny.log4j.SunnyOperator.getRemainder(SunnyOperator.java:33)' 
 '2018-01-24 00:04:42,800' 'com.sunny.log4j.TestLab10' 'INFO' 'TestLab10' 'main' 'Main Completed' 'com.sunny.log4j.TestLab10.main(TestLab10.java:39)' 
